id,Neighborhood,Latitude,Longitude
352,Yeliyur,12.5098958,76.8286606
353,Agram,45.813177,15.977048
354,Amruthahalli,13.0665131,77.5966238
355,Attur,11.66371065,78.53355129
356,Banaswadi,13.0141618,77.6518539
357,Bellandur,58.235358,26.6831165
358,Bhattarahalli,13.0258004,77.714279
359,Bidrahalli,14.5774262,74.9285603
360,Byatarayanapura,13.06207355,77.59639164
361,Devanagundi,12.9736132,77.8394018
362,Devasandra,12.7572271,77.6472795
363,Doddagubbi,14.452076,75.5107992
364,Doddanekkundi,12.9757204,77.6940417
365,Domlur,12.9624669,77.6381958
366,EPIP,12.9776727,77.72220003
367,Fraser Town,42.2453631,-74.9646074
368,Gunjur,13.17602,-16.759896
369,HighCourt,53.7835082,-0.3871868
370,Hoodi,12.9919033,77.7162015
371,Horamavu,13.0273312,77.6601508
372,Indiranagar S.O (Bangalore),12.9732913,77.6404672
373,Jakkur,13.0784743,77.6068938
374,Kadugodi,13.0216263,77.7661802
375,Kalkunte,14.310717,76.2673431
376,Kannamangala,13.2151923,77.6667197
377,Kodigehalli,13.0031666,77.7272835
378,Kothanur,12.5805368,77.3330675
379,Krishnarajapuram,12.9186282,78.4463677
380,Kundalahalli,12.9684441,77.7187843
381,Lingarajapuram,13.0117678,77.6278288
382,Mahadevapura,14.4667215,76.5745227
383,Medimallasandra,12.9523031,77.830108
384,Mundur,10.8354433,76.5720879
385,Museum Road,-35.0813217,137.7042675
386,NAL,58.31895635,12.2660147
387,Panathur,12.9351457,77.7047541
388,Rajanakunte,13.1691901,77.5639442
389,Sadashivanagar,13.0077079,77.5795893
390,Samethanahalli,12.979363,77.7907328
391,Singanayakanahalli,13.1478621,77.5693207
392,Vasanthanagar,9.3137072,80.4233956
393,Venkateshapura,14.6347896,76.2308938
394,Vimanapura,12.96218,77.6635462
395,Virgonagar,13.0331172,77.734857
396,Whitefield,44.373441,-71.61026
397,Yelahanka,13.1006982,77.5963454
398,Adugodi,12.9428472,77.6104155
399,Agara,27.67060495,85.01617043
400,Anjanapura,14.1595946,75.3883166
401,Banashankari,15.8876779,75.7046777
402,Bannerghatta,12.53290595,77.54619069
403,Basavanagudi H.O,13.8345913,75.7339359
404,Begur,52.480709,13.4518288
405,Bolare,12.7798514,76.9214248
406,Bommanahalli S.O (Bangalore),13.3457317,77.4333346
407,Chandapura,17.4436387,77.433391
408,Chandapura,17.4436387,77.433391
409,Chickpet,12.9680027,77.578642
410,Chikkalasandra,12.9121916,77.5476337
411,Deepanjalinagar,12.95062355,77.53655377
412,Doddakallasandra,12.8857355,77.5557448
413,Girinagar S.O (Bangalore),12.9401439,77.5444995
414,Gottigere,12.8565317,77.5877237
415,Haragadde,12.7637369,77.655377
416,Hennagara,12.7883084,77.6733345
417,Hulimangala,12.8188956,77.6384041
418,Hulimavu,12.1597985,76.7332897
419,Hulimavu,12.1597985,76.7332897
420,Huskur,12.8607674,77.7071019
421,Jayanagar H.O,12.9292731,77.5824229
422,Jigani,12.7852528,77.6380931
423,Kalkere,12.8328089,77.5906929
424,Kallubalu,12.7712034,77.6227944
425,Kathriguppe,12.9311931,77.5547931
426,Kengeri,12.9176571,77.4837568
427,Konanakunte,12.88601785,77.5791414
428,Koramangala,12.9340114,77.6222304
429,Kumbalagodu,12.8786167,77.4467629
430,Madivala,12.7105292,77.7594262
431,Mallathahalli,12.9610667,77.5099088
432,Mavalli,12.9528478,77.5819643
433,Nayandahalli,12.9454012,77.5278104
434,Ragihalli,12.7386426,77.5745803
435,Ramohalli,12.906985,77.4185281
436,Sakalavara,12.8210611,77.6084813
437,Shanthinagar,58.235358,26.6831165
438,Singasandra,12.6850414,77.6975628
439,Subramanyapura,12.8839705,77.5412114
440,Sulikere,12.9389629,77.4475916
441,Taralu,12.7892102,77.5223282
442,Tavarekere,12.8949057,78.2277071
443,Thalaghattapura,12.8698169,77.5356688
444,Yelachenahalli,12.897971,77.5700846
445,Achitnagar,13.0911763,77.48348235
446,Bagalgunte,13.0566493,77.5048222
447,Bangalore City,13.0216263,77.7661802
448,Basaveshwaranagar,12.986475,77.5385709
449,Byatha,13.1930126,77.4848169
450,Chikkabanavara,13.4021825,76.1844179
451,Herohalli,12.8778323,77.1017182
452,Hessarghatta,13.04842585,77.50762319
453,Jalahalli H.O,13.0464531,77.5483803
454,Kakolu,13.1875001,77.5198462
455,Kamakshipalya,12.9823617,77.5226376
456,Kodigehalli,13.0031666,77.7272835
457,Kodigehalli,13.4439871,77.9970938
458,Laggere,13.0108677,77.5207301
459,Malleswaram,16.355021,81.2679183
460,Mathikere,13.0328884,77.557374
461,Msrit,13.0309553,77.56485594
462,Nagarbhavi,12.9651008,77.5078635
463,Nagasandra S.O (Bangalore),13.0479497,77.5001349
464,Peenya Dasarahalli,13.0330189,77.533201
465,Rajajinagar H.O,15.41545245,75.04406206
466,Seshadripuram,16.7044988,80.5466724
467,Shivakote,13.1345489,77.5134137
468,Srirampuram,17.0226653,81.8507267
469,Tarabanahalli,13.1905708,77.627882
470,Vidyaranyapura,13.0766407,77.5577315
471,Vijayanagar S.O (Bangalore),12.9718886,77.54578884
472,Abbur,12.22133,76.18024
473,Achalu,12.4748989,77.3630136
474,Adarangi,13.1217472,77.1931641
475,Agalakote,12.9067836,77.1683736
476,Akkur,50.7339784,5.6667674
477,Akkur,50.7339784,5.6667674
478,Alahalli,13.2765863,77.5223369
479,Aluru,15.3925756,77.2270144
480,Ambadahalli,12.5249428,77.1898736
481,Anekal,12.7086373,77.6993972
482,Anjanapura,14.1595946,75.3883166
483,Ankanahalli,12.8304835,77.2497581
484,Anneshwara,13.2153244,77.7105771
485,Aradeshanahalli,13.2223418,77.5653384
486,Arakere,13.2001117,77.5387874
487,Arudi,43.1050159,-0.4279426
488,Attibele,12.7782588,77.7712834
489,Attihalli,12.5040597,77.3287978
490,Attikuppe,12.5495019,76.6887797
491,Avathi,13.296413,77.7258629
492,Averahalli,13.035354,77.4157394
493,Bachenahatti,12.9536631,77.3038281
494,Bagalur S.O (Bangalore),13.1331868,77.6687093
495,Banavadi,13.1181137,77.2566101
496,Banavasi,14.5389738,75.0129845
497,Bannikuppe,12.6734316,77.4285699
498,Baragenahalli,13.194119,77.2371251
499,Begur,52.480709,13.4518288
500,Bendiganahalli,13.2173482,77.8337043
501,Bettakote,13.1992334,77.7409295
502,Bidadi,12.7988507,77.3869947
503,Bidaraguppe,12.8060574,77.7862873
504,Bijjahalli,12.44976,77.5438327
505,Budigere,13.1351402,77.74957
506,Budihal,40.1807801,-4.6963387
507,Byagadadenahalli,12.7426294,77.7014816
508,Bylanarasapura,13.1769973,77.9356007
509,Byramangala,12.7492546,77.4223044
510,Chakkere,12.6100353,77.1711855
511,Channarayapatna,13.2455918,77.797084
512,Chikkajala,13.1715801,77.6345704
513,Chikkanahalli,13.314318,77.7871125
514,Chunchanakuppe,12.9095576,77.386642
515,Dasanapura,13.0508851,76.9644144
516,Devanahalli,13.2483502,77.7134377
517,Devarahosahalli,13.9348185,76.0783359
518,Dobbespet,13.2307461,77.2425462
519,Doddabelavangala,13.2888795,77.4215754
520,Doddabele,13.2230654,77.3376846
521,Doddahejjaji,13.2708182,77.4152371
522,Doddajala,13.1767348,77.6520502
523,Doddakabballi,12.4418428,77.5160771
524,Doddanallala,13.0834921,77.8973974
525,Doddasanne,13.2177635,77.6941039
526,Doddasomanahalli,12.7901066,76.5178394
527,Dommasandra,13.0974753,78.4516588
528,Ganalu,12.3659908,77.2134662
529,Gangonahalli,13.1203112,77.0864791
530,Gantiganahalli,13.3600207,77.6032617
531,Garakahalli,12.4320101,76.8289688
532,Girenahalli,15.0126557,76.3879046
533,Gollahalli,13.7183597,77.579806
534,Gollahalli,13.7183597,77.579806
535,Gottigehalli,12.7209593,77.526767
536,Guddanahalli,12.6899567,77.725314
537,Gudemaranahalli,13.0514216,77.2638794
538,Hadonahalli,13.3692418,77.5449548
539,Hagalahalli,12.5542977,77.079945
540,Hanabe,13.3249793,77.4635565
541,Handenahalli,12.8259815,77.7673455
542,Harisandra,12.7867738,77.3040265
543,Harobele,12.4050244,77.426913
544,Harohalli,13.0244417,77.9387307
545,Harohalli,13.0244417,77.9387307
546,Hasigala,13.1345227,77.7756037
547,Heggadahalli,11.8792634,76.683914
548,Hegganahalli,13.2187326,77.6104355
549,Heggunda,13.2775355,77.2599783
550,Hejjala,12.8553687,77.4169835
